dia;sigla;nome;confirmados;obitos
2020-03-14;DF;DISTRITO FEDERAL;   6;NA
2020-03-14;ES;ESPÍRITO SANTO;   1;NA
2020-03-14;GO;GOIÁS;   3;NA
2020-03-14;MA;MARANHÃO;   0;NA
2020-03-14;MT;MATO GROSSO;   0;NA
2020-03-14;MS;MATO GROSSO DO SUL;   0;NA
2020-03-14;MG;MINAS GERAIS;   2;NA
2020-03-14;PA;PARÁ;   0;NA
2020-03-14;PB;PARAÍBA;   0;NA
2020-03-14;PR;PARANÁ;   6;NA
2020-03-14;PE;PERNAMBUCO;   2;NA
2020-03-14;PI;PIAUÍ;   0;NA
2020-03-14;RJ;RIO DE JANEIRO;  22;NA
2020-03-14;RN;RIO GRANDE DO NORTE;   1;NA
2020-03-14;RS;RIO GRANDE DO SUL;   6;NA
2020-03-14;RO;RONDÔNIA;   0;NA
2020-03-14;RR;RORAIMA;   0;NA
2020-03-14;SC;SANTA CATARINA;   4;NA
2020-03-14;SP;SÃO PAULO;  65;NA
2020-03-14;SE;SERGIPE;   0;NA
2020-03-14;TO;TOCANTINS;   0;NA
2020-03-15;AC;ACRE;   0;NA
2020-03-15;AL;ALAGOAS;   1;NA
2020-03-15;AP;AMAPÁ;   0;NA
2020-03-15;AM;AMAZONAS;   1;NA
2020-03-15;BA;BAHIA;   2;NA
2020-03-15;CE;CEARÁ;   0;NA
2020-03-15;DF;DISTRITO FEDERAL;   8;NA
2020-03-15;ES;ESPÍRITO SANTO;   1;NA
2020-03-15;GO;GOIÁS;   3;NA
2020-03-15;MA;MARANHÃO;   0;NA
2020-03-15;MT;MATO GROSSO;   0;NA
2020-03-15;MS;MATO GROSSO DO SUL;   0;NA
2020-03-15;MG;MINAS GERAIS;   2;NA
2020-03-15;PA;PARÁ;   0;NA
2020-03-15;PB;PARAÍBA;   0;NA
2020-03-15;PR;PARANÁ;   6;NA
2020-03-15;PE;PERNAMBUCO;   2;NA
2020-03-15;PI;PIAUÍ;   0;NA
2020-03-15;RJ;RIO DE JANEIRO;  24;NA
2020-03-15;RN;RIO GRANDE DO NORTE;   1;NA
2020-03-15;RS;RIO GRANDE DO SUL;   6;NA
2020-03-15;RO;RONDÔNIA;   0;NA
2020-03-15;RR;RORAIMA;   0;NA
2020-03-15;SC;SANTA CATARINA;   6;NA
2020-03-15;SP;SÃO PAULO; 136;NA
2020-03-15;SE;SERGIPE;   1;NA
2020-03-15;TO;TOCANTINS;   0;NA
2020-03-16;AC;ACRE;   0;NA
2020-03-16;AL;ALAGOAS;   1;NA
2020-03-16;AP;AMAPÁ;   0;NA
2020-03-16;AM;AMAZONAS;   1;NA
2020-03-16;BA;BAHIA;   2;NA
2020-03-16;CE;CEARÁ;   0;NA
2020-03-16;DF;DISTRITO FEDERAL;  13;NA
2020-03-16;ES;ESPÍRITO SANTO;   1;NA
2020-03-16;GO;GOIÁS;   3;NA
2020-03-16;MA;MARANHÃO;   0;NA
2020-03-16;MT;MATO GROSSO;   0;NA
2020-03-16;MS;MATO GROSSO DO SUL;   2;NA
2020-03-16;MG;MINAS GERAIS;   5;NA
2020-03-16;PA;PARÁ;   0;NA
2020-03-16;PB;PARAÍBA;   0;NA
2020-03-16;PR;PARANÁ;   6;NA
2020-03-16;PE;PERNAMBUCO;   2;NA
2020-03-16;PI;PIAUÍ;   0;NA
2020-03-16;RJ;RIO DE JANEIRO;  31;NA
2020-03-16;RN;RIO GRANDE DO NORTE;   1;NA
2020-03-16;RS;RIO GRANDE DO SUL;   6;NA
2020-03-16;RO;RONDÔNIA;   0;NA
2020-03-16;RR;RORAIMA;   0;NA
2020-03-16;SC;SANTA CATARINA;   7;NA
2020-03-16;SP;SÃO PAULO; 152;NA
2020-03-16;SE;SERGIPE;   1;NA
2020-03-16;TO;TOCANTINS;   0;NA
2020-03-17;AC;ACRE;   0;NA
2020-03-17;AL;ALAGOAS;   1;NA
2020-03-17;AP;AMAPÁ;   0;NA
2020-03-17;AM;AMAZONAS;   1;NA
2020-03-17;BA;BAHIA;   3;NA
2020-03-17;CE;CEARÁ;   5;NA
2020-03-17;DF;DISTRITO FEDERAL;  21;NA
2020-03-17;ES;ESPÍRITO SANTO;   1;NA
2020-03-17;GO;GOIÁS;   6;NA
2020-03-17;MA;MARANHÃO;   0;NA
2020-03-17;MT;MATO GROSSO;   0;NA
2020-03-17;MS;MATO GROSSO DO SUL;   4;NA
2020-03-17;MG;MINAS GERAIS;   7;NA
2020-03-17;PA;PARÁ;   0;NA
2020-03-17;PB;PARAÍBA;   0;NA
2020-03-17;PR;PARANÁ;   6;NA
2020-03-17;PE;PERNAMBUCO;  16;NA
2020-03-17;PI;PIAUÍ;   0;NA
2020-03-17;RJ;RIO DE JANEIRO;  33;NA
2020-03-17;RN;RIO GRANDE DO NORTE;   1;NA
2020-03-17;RS;RIO GRANDE DO SUL;  10;NA
2020-03-17;RO;RONDÔNIA;   0;NA
2020-03-17;RR;RORAIMA;   0;NA
2020-03-17;SC;SANTA CATARINA;   7;NA
2020-03-17;SP;SÃO PAULO; 164; 1
2020-03-17;SE;SERGIPE;   4;NA
2020-03-17;TO;TOCANTINS;   0;NA
2020-03-18;AC;ACRE;   0;NA
2020-03-18;AL;ALAGOAS;   1;NA
2020-03-18;AP;AMAPÁ;   0;NA
2020-03-18;AM;AMAZONAS;   1;NA
2020-03-18;BA;BAHIA;   3;NA
2020-03-18;CE;CEARÁ;   9;NA
2020-03-18;DF;DISTRITO FEDERAL;  26;NA
2020-03-18;ES;ESPÍRITO SANTO;   9;NA
2020-03-18;GO;GOIÁS;   8;NA
2020-03-18;MA;MARANHÃO;   0;NA
2020-03-18;MT;MATO GROSSO;   0;NA
2020-03-18;MS;MATO GROSSO DO SUL;   7;NA
2020-03-18;MG;MINAS GERAIS;  15;NA
2020-03-18;PA;PARÁ;   0;NA
2020-03-18;PB;PARAÍBA;   0;NA
2020-03-18;PR;PARANÁ;  13;NA
2020-03-18;PE;PERNAMBUCO;  16;NA
2020-03-18;PI;PIAUÍ;   0;NA
2020-03-18;RJ;RIO DE JANEIRO;  45;NA
2020-03-18;RN;RIO GRANDE DO NORTE;   1;NA
2020-03-18;RS;RIO GRANDE DO SUL;  19;NA
2020-03-18;RO;RONDÔNIA;   0;NA
2020-03-18;RR;RORAIMA;   0;NA
2020-03-18;SC;SANTA CATARINA;  10;NA
2020-03-18;SP;SÃO PAULO; 240; 4
2020-03-18;SE;SERGIPE;   5;NA
2020-03-18;TO;TOCANTINS;   0;NA
2020-03-19;AC;ACRE;   3;NA
2020-03-19;AL;ALAGOAS;   4;NA
2020-03-19;AP;AMAPÁ;   0;NA
2020-03-19;AM;AMAZONAS;   3;NA
2020-03-19;BA;BAHIA;  30;NA
2020-03-19;CE;CEARÁ;  20;NA
2020-03-19;DF;DISTRITO FEDERAL;  42;NA
2020-03-19;ES;ESPÍRITO SANTO;  11;NA
2020-03-19;GO;GOIÁS;  12;NA
2020-03-19;MA;MARANHÃO;   0;NA
2020-03-19;MT;MATO GROSSO;   0;NA
2020-03-19;MS;MATO GROSSO DO SUL;   7;NA
2020-03-19;MG;MINAS GERAIS;  29;NA
2020-03-19;PA;PARÁ;   1;NA
2020-03-19;PB;PARAÍBA;   1;NA
2020-03-19;PR;PARANÁ;  23;NA
2020-03-19;PE;PERNAMBUCO;  28;NA
2020-03-19;PI;PIAUÍ;   0;NA
2020-03-19;RJ;RIO DE JANEIRO;  65; 2
2020-03-19;RN;RIO GRANDE DO NORTE;   1;NA
2020-03-19;RS;RIO GRANDE DO SUL;  28;NA
2020-03-19;RO;RONDÔNIA;   0;NA
2020-03-19;RR;RORAIMA;   0;NA
2020-03-19;SC;SANTA CATARINA;  20;NA
2020-03-19;SP;SÃO PAULO; 286; 2
2020-03-19;SE;SERGIPE;   6;NA
2020-03-19;TO;TOCANTINS;   1;NA
2020-03-20;AC;ACRE;   7;NA
2020-03-20;AL;ALAGOAS;   5;NA
2020-03-20;AP;AMAPÁ;   1;NA
2020-03-20;AM;AMAZONAS;   3;NA
2020-03-20;BA;BAHIA;  33;NA
2020-03-20;CE;CEARÁ;  55;NA
2020-03-20;DF;DISTRITO FEDERAL;  87;NA
2020-03-20;ES;ESPÍRITO SANTO;  13;NA
2020-03-20;GO;GOIÁS;  15;NA
2020-03-20;MA;MARANHÃO;   0;NA
2020-03-20;MT;MATO GROSSO;   1;NA
2020-03-20;MS;MATO GROSSO DO SUL;   9;NA
2020-03-20;MG;MINAS GERAIS;  35;NA
2020-03-20;PA;PARÁ;   2;NA
2020-03-20;PB;PARAÍBA;   1;NA
2020-03-20;PR;PARANÁ;  32;NA
2020-03-20;PE;PERNAMBUCO;  30;NA
2020-03-20;PI;PIAUÍ;   3;NA
2020-03-20;RJ;RIO DE JANEIRO; 109; 2
2020-03-20;RN;RIO GRANDE DO NORTE;   1;NA
2020-03-20;RS;RIO GRANDE DO SUL;  37;NA
2020-03-20;RO;RONDÔNIA;   1;NA
2020-03-20;RR;RORAIMA;   0;NA
2020-03-20;SC;SANTA CATARINA;  21;NA
2020-03-20;SP;SÃO PAULO; 396; 9
2020-03-20;SE;SERGIPE;   6;NA
2020-03-20;TO;TOCANTINS;   1;NA
2020-03-21;AC;ACRE;   9;NA
2020-03-21;AL;ALAGOAS;   7;NA
2020-03-21;AP;AMAPÁ;   1;NA
2020-03-21;AM;AMAZONAS;  11;NA
2020-03-21;BA;BAHIA;  41;NA
2020-03-21;CE;CEARÁ;  68;NA
2020-03-21;DF;DISTRITO FEDERAL; 100;NA
2020-03-21;ES;ESPÍRITO SANTO;  26;NA
2020-03-21;GO;GOIÁS;  20;NA
2020-03-21;MA;MARANHÃO;   0;NA
2020-03-21;MT;MATO GROSSO;   2;NA
2020-03-21;MS;MATO GROSSO DO SUL;  16;NA
2020-03-21;MG;MINAS GERAIS;  38;NA
2020-03-21;PA;PARÁ;   2;NA
2020-03-21;PB;PARAÍBA;   1;NA
2020-03-21;PR;PARANÁ;  43;NA
2020-03-21;PE;PERNAMBUCO;  30;NA
2020-03-21;PI;PIAUÍ;   4;NA
2020-03-21;RJ;RIO DE JANEIRO; 119; 3
2020-03-21;RN;RIO GRANDE DO NORTE;   6;NA
2020-03-21;RS;RIO GRANDE DO SUL;  60;NA
2020-03-21;RO;RONDÔNIA;   1;NA
2020-03-21;RR;RORAIMA;   0;NA
2020-03-21;SC;SANTA CATARINA;  51;NA
2020-03-21;SP;SÃO PAULO; 459;15
2020-03-21;SE;SERGIPE;  10;NA
2020-03-21;TO;TOCANTINS;   2;NA
2020-03-22;AC;ACRE;  11;NA
2020-03-22;AL;ALAGOAS;   7;NA
2020-03-22;AP;AMAPÁ;   1;NA
2020-03-22;AM;AMAZONAS;  26;NA
2020-03-22;BA;BAHIA;  49;NA
2020-03-22;CE;CEARÁ; 112;NA
2020-03-22;DF;DISTRITO FEDERAL; 117;NA
2020-03-22;ES;ESPÍRITO SANTO;  26;NA
2020-03-22;GO;GOIÁS;  21;NA
2020-03-22;MA;MARANHÃO;   2;NA
2020-03-22;MT;MATO GROSSO;   2;NA
2020-03-22;MS;MATO GROSSO DO SUL;  21;NA
2020-03-22;MG;MINAS GERAIS;  83;NA
